""
36,"[-0.008770478522511256, 0.3038265548504533]","[-0.01051291940892952, 0.30268354253805646]","[-0.008784993108240624, 0.35893565548226636]","[-0.007510697112683419, 0.3054359996006955]","[-0.008745551277500159, 0.2636727843781057]","[0.009812031274932185, 0.30436143893706386]","[0.00827338052060999, 0.3022021983612836]","[0.009760436613351348, 0.36344451280999507]","[0.012053662437861656, 0.3070229074864426]","[0.00986218727185713, 0.26191759208166643]",[0.0004569888114929199],[-3.0934810638427734e-05],"[0.6141034960746765, 0.4209834337234497]","[757, 826]"
37,"[-0.007763753464992582, 0.30268940430130414]","[-0.009282144417740877, 0.30215807076972]","[-0.007758737782627504, 0.35861091754364366]","[-0.00665998463721087, 0.3035697017321298]","[-0.0077615106714349, 0.26196029101788265]","[0.008651906346852666, 0.3034933950549207]","[0.007301798729234587, 0.30133541622522536]","[0.00860986876520739, 0.36196127500384345]","[0.010622587551374412, 0.3062475610989869]","[0.008693678138868639, 0.2614286331166027]",[0.00047403573989868164],[-2.086162567138672e-06],"[0.6138935685157776, 0.4207388162612915]","[757, 826]"
38,"[-0.008770276759532873, 0.302504948881469]","[-0.01049658899919973, 0.30192998135973226]","[-0.008767340620630799, 0.3584022301616005]","[-0.007517110658329782, 0.30349872825884344]","[-0.008764118108842735, 0.26186653396477866]","[0.00990953087661284, 0.3028315206817212]","[0.008369644586680072, 0.30047589444955114]","[0.00984853989707189, 0.3606910436877207]","[0.012144148392674683, 0.30563963725706733]","[0.009968592899982451, 0.26106030600013236]",[0.00044721364974975586],[-2.3424625396728516e-05],"[0.6141058206558228, 0.42044898867607117]","[757, 826]"
39,"[-0.008360551285510099, 0.30157640438149785]","[-0.010034986378875337, 0.3007673984630712]","[-0.008367419629110463, 0.35710344315532716]","[-0.0071526226774233466, 0.3027880337465688]","[-0.008344180099087497, 0.2611668655644398]","[0.00920288426543734, 0.3038126015259307]","[0.007797150948345548, 0.3015373008109693]","[0.009166407586374433, 0.36246245281847395]","[0.0112386167049132, 0.3066494762825589]","[0.009238843612670125, 0.26159705006325973]",[0.00045377016067504883],[2.980232238769531e-07],"[0.6136000752449036, 0.42064064741134644]","[757, 826]"
40,"[-0.008493354296661633, 0.3027548967466239]","[-0.010247022740460335, 0.30187681358255153]","[-0.008503247330195871, 0.359044642155093]","[-0.0072417708702525, 0.30408577850625157]","[-0.008474363251632717, 0.26191935875817374]","[0.009461026362549795, 0.30239034661414443]","[0.007993904068840048, 0.30008196952994715]","[0.009401448307244958, 0.36015516735447123]","[0.01158875467370398, 0.305138283119328]","[0.00951945796717154, 0.2606570317074698]",[0.00042068958282470703],[-1.2278556823730469e-05],"[0.6136561632156372, 0.4200555086135864]","[757, 826]"
41,"[-0.007293478398862497, 0.2999858113261089]","[-0.008774000247135382, 0.29942734902322893]","[-0.00729711660260015, 0.35557847486873484]","[-0.006228581397342984, 0.30096756032305155]","[-0.007281293315313011, 0.2595881606152728]","[0.007943720821485945, 0.30111565592763867]","[0.006729093172305035, 0.2988914539532464]","[0.00790413724268872, 0.3581720079452136]","[0.009703438237028301, 0.3038493100286566]","[0.00798496383106422, 0.25981927966244894]",[0.0004031062126159668],[5.185604095458984e-06],"[0.6131862998008728, 0.4199424982070923]","[757, 826]"
42,"[-0.008744376362545858, 0.3012950595481202]","[-0.010481618334378058, 0.30058413818853985]","[-0.008749794881857688, 0.35691239054191076]","[-0.007486507105063432, 0.30244616515328887]","[-0.008729310104019032, 0.2608597219561268]","[0.009581119728185204, 0.30104315815366767]","[0.008122070728589689, 0.2986660920630644]","[0.009528963048868272, 0.35787297212668556]","[0.011693565701736628, 0.30394235621173765]","[0.009635457472565799, 0.2598638224229667]",[0.0003834366798400879],[-7.271766662597656e-06],"[0.6131174564361572, 0.41960740089416504]","[757, 826]"
43,"[-0.008113506106450584, 0.3016858582505766]","[-0.00971518231836818, 0.30146683047032813]","[-0.008104371410448423, 0.3580733713043177]","[-0.006952234985542511, 0.3022740800267203]","[-0.008114908955101731, 0.26070864028521906]","[0.008851137446597719, 0.3016867178095462]","[0.007527278364955387, 0.29950704568967285]","[0.00880753043852494, 0.3584439874408646]","[0.010752688172043012, 0.3043698537010235]","[0.008898742673389599, 0.2605378432261489]",[0.0003752708435058594],[-1.4424324035644531e-05],"[0.6130887866020203, 0.4200897216796875]","[757, 826]"
44,"[-0.008395336487344215, 0.30183622114460007]","[-0.010055146018987228, 0.3012446356357001]","[-0.008390571429229306, 0.35737417241590225]","[-0.007193612608957864, 0.3027920214072011]","[-0.008392774475278857, 0.26137436788499435]","[0.009163849068086342, 0.30206717342015105]","[0.00778852987223947, 0.29973928269306227]","[0.009112392002900762, 0.359165907446183]","[0.01114400352302197, 0.30490197313371065]","[0.009220402798002583, 0.2607046901075108]",[0.0003737807273864746],[-2.372264862060547e-05],"[0.6130973100662231, 0.4200718104839325]","[757, 826]"
45,"[-0.008250066002833798, 0.30127131073777785]","[-0.009878492881024624, 0.3006980712476455]","[-0.008251074334615886, 0.3570220122821666]","[-0.007069804938193544, 0.3022000726707942]","[-0.008241305802427476, 0.2606941354344646]","[0.00901712573446858, 0.3019703016677369]","[0.0076371235066734116, 0.2998365678109276]","[0.008976789054238321, 0.3596162251000111]","[0.011015467218363627, 0.3046591120486748]","[0.009058766787391148, 0.26036976539620044]",[0.00039565563201904297],[-1.9788742065429688e-05],"[0.6131578683853149, 0.4199479818344116]","[757, 826]"
46,"[-0.008279134340735813, 0.30235561572854813]","[-0.009935312356628924, 0.30158051977713063]","[-0.008283966226195733, 0.35798304707555084]","[-0.007083192931036698, 0.30356521315650387]","[-0.008264605742102332, 0.2618911983846642]","[0.00901762260846811, 0.30274995750176065]","[0.007636198221558411, 0.300532761575369]","[0.008974224145270254, 0.360682890841024]","[0.011020910209102092, 0.30552245895601193]","[0.009062198948643326, 0.26096069713062825]",[0.0003928542137145996],[-1.5854835510253906e-05],"[0.6130698323249817, 0.4197949767112732]","[757, 826]"
47,"[-0.007553261879456741, 0.3015226521744393]","[-0.009055279701386518, 0.3009528973508757]","[-0.0075518255191195744, 0.3569394915812798]","[-0.006466859381214576, 0.3025129917674161]","[-0.00754625934716939, 0.2611603288620072]","[0.00826625086257902, 0.30293972687207654]","[0.007002561639107049, 0.30059594578000687]","[0.00822748412889746, 0.36127877837849365]","[0.010094917646116325, 0.3058605968642275]","[0.008305668896299873, 0.260923475599237]",[0.0003852248191833496],[8.881092071533203e-06],"[0.6131596565246582, 0.41972416639328003]","[757, 826]"
48,"[-0.007447716455370062, 0.30190780514290294]","[-0.008939480750778321, 0.30119169440396276]","[-0.007450501628754449, 0.3571011660862205]","[-0.0063710186053422095, 0.3030723037327913]","[-0.007436075589574565, 0.2616950604585163]","[0.008163538045869627, 0.3032108000450538]","[0.006916766990944644, 0.3007197974623212]","[0.008118806667076263, 0.3612606820948089]","[0.009968577811100453, 0.3062679436378799]","[0.00820939992139262, 0.26132279301570416]",[0.000396728515625],[4.5299530029296875e-06],"[0.6132150292396545, 0.4196262061595917]","[757, 826]"
49,"[-0.008215687759124271, 0.30046245398511917]","[-0.009872252787017675, 0.29943281982699027]","[-0.008226748794390441, 0.355380033557047]","[-0.007022841026767502, 0.3019345742967193]","[-0.00819613031406578, 0.2604586045848161]","[0.009057428001573335, 0.30265572967013965]","[0.007673186437590738, 0.3003716950200525]","[0.009008448053777724, 0.3600831667985628]","[0.01106240142854274, 0.30544755779242316]","[0.009106897156852522, 0.2610915832598342]",[0.000400543212890625],[6.854534149169922e-06],"[0.6133288145065308, 0.4189186692237854]","[757, 826]"
50,"[-0.007578192990472866, 0.3012504158909899]","[-0.009072552932961662, 0.30092111228061935]","[-0.007574262311260239, 0.3566527999892036]","[-0.006494145381093826, 0.30198212842055344]","[-0.00757362787159313, 0.2608466865100785]","[0.00832489345574204, 0.30300222572873625]","[0.007062644117851621, 0.30083483215135404]","[0.00828467501430881, 0.36037885722370233]","[0.010145188163614118, 0.30567013513884733]","[0.008365726945612953, 0.2614796478389414]",[0.00038564205169677734],[8.285045623779297e-06],"[0.6132403612136841, 0.4193834066390991]","[757, 826]"
