,468,469,470,471,472,473,474,475,476,477,head_rotation_hor,head_rotation_ver,head_pos,looking_pos
21,"[-0.029900067234005467, 0.38097003926723433]","[-0.03831877478850302, 0.38460264244268044]","[-0.029426056536228394, 0.4536346651444739]","[-0.02448506082154489, 0.37754604942954895]","[-0.030361467679676974, 0.32802001912987444]","[0.01901626281822861, 0.42684870303010686]","[0.01666032169442845, 0.43405691968016685]","[0.01924523671187867, 0.5119856033233926]","[0.02224381563050147, 0.42041141739049437]","[0.018822454583085336, 0.3655125834824226]",[-0.002204000949859619],[0.0009315609931945801],"[0.5671547651290894, 0.4734402298927307]","[157, 894]"
22,"[-0.030341307226144833, 0.38445417117420033]","[-0.03892397002105531, 0.3881268693372198]","[-0.029865394812235668, 0.4591016464632137]","[-0.02481909517449662, 0.3808361953059275]","[-0.030812717675003515, 0.3304151084150495]","[0.019410348182967125, 0.430910796496972]","[0.016951139291629364, 0.43916135116052246]","[0.019651564338370123, 0.5170485300650226]","[0.022807495236473803, 0.4236117787826269]","[0.019209020959893696, 0.3690220029493959]",[-0.002142965793609619],[0.0008990168571472168],"[0.5670631527900696, 0.4739357829093933]","[157, 894]"
23,"[-0.027298356015225476, 0.38372078176145313]","[-0.03460028617218352, 0.38702788576348707]","[-0.026892181695565332, 0.4540759280005008]","[-0.02249793742463667, 0.3804939744272077]","[-0.027686984774110912, 0.331883859048782]","[0.017797560654789577, 0.43335709231290576]","[0.015502058997032088, 0.4406811172426001]","[0.0180120398673257, 0.5214647583576313]","[0.02096088975872804, 0.4269417154303696]","[0.017608563374684895, 0.3704698878938278]",[-0.002309560775756836],[0.0008951425552368164],"[0.5673589110374451, 0.47103190422058105]","[157, 894]"
24,"[-0.028742492783693754, 0.3842769419304547]","[-0.03666703757790367, 0.38796096780577455]","[-0.02833004086765886, 0.4568287037665736]","[-0.023603090790382798, 0.38056834421035196]","[-0.02915590689778833, 0.3312832685802793]","[0.018578353793005726, 0.43214359671078356]","[0.016180968198635334, 0.43966788163185927]","[0.018800800180151615, 0.5193511892558166]","[0.02188557037019622, 0.4254986949211969]","[0.018382919228900816, 0.36974174413932154]",[-0.002352595329284668],[0.0009185075759887695],"[0.5669623613357544, 0.4705885052680969]","[157, 894]"
25,"[-0.02576641386348628, 0.4022199960687076]","[-0.03214977755940444, 0.40612783662928337]","[-0.025571599201080358, 0.48162335404769424]","[-0.02143638367342328, 0.3988716704838167]","[-0.025934569943348716, 0.34477532375733494]","[0.019278719696447125, 0.44715007927343303]","[0.016588776768948824, 0.4552425156698639]","[0.01954547228769877, 0.5447861254173179]","[0.02301621703749715, 0.43997881949787493]","[0.01902662783254182, 0.37893349778314045]",[-0.002132892608642578],[0.0009303689002990723],"[0.566310703754425, 0.4662039279937744]","[157, 894]"
26,"[-0.0276493015891919, 0.39489404436927117]","[-0.0344370872979799, 0.39918751968194915]","[-0.027413176636938392, 0.4705319268113652]","[-0.023036616069384994, 0.39097691607677504]","[-0.02784764298738894, 0.33977936574695483]","[0.02008347772556366, 0.4433895276744744]","[0.017310765847236745, 0.4514217439288877]","[0.020386110036727752, 0.5389421155645894]","[0.023924143699113623, 0.4361697675716225]","[0.019799089777602922, 0.37631467393411955]",[-0.002277076244354248],[0.0009713172912597656],"[0.5652991533279419, 0.4654330611228943]","[157, 894]"
27,"[-0.02913318015001483, 0.39553767950393565]","[-0.03675363756241054, 0.39990247070255586]","[-0.02894521760926974, 0.47672583619482756]","[-0.024080101204595795, 0.3921522706018992]","[-0.029303468424170274, 0.33726279915107327]","[0.02173473734948496, 0.44462840562170075]","[0.01875608803301491, 0.45281819486953506]","[0.022079836894230414, 0.5434089120256264]","[0.02583941818679713, 0.43727850098178117]","[0.021404551965755237, 0.3758506538176831]",[-0.002231001853942871],[0.0009485483169555664],"[0.5626941323280334, 0.4640757739543915]","[157, 894]"
28,"[-0.029500457186081255, 0.39329262169235435]","[-0.03722005089007351, 0.3981528548873002]","[-0.029344314989412812, 0.4718505127284078]","[-0.02439657192093344, 0.38876273918361187]","[-0.029637588113519037, 0.33660333867151926]","[0.02176889661164205, 0.44346321855667714]","[0.018762182562174268, 0.4513634372911048]","[0.022101318881385355, 0.5423857372638268]","[0.025913687233327563, 0.4364843498906203]","[0.0214499640446005, 0.3747410317428881]",[-0.002350747585296631],[0.0010035037994384766],"[0.5629740357398987, 0.46407365798950195]","[157, 894]"
29,"[-0.029609764958672184, 0.39197914137924594]","[-0.03726460570616125, 0.39680724317891924]","[-0.029462872467137052, 0.47045570555048477]","[-0.024518937176122718, 0.3876060782741446]","[-0.029737516726376468, 0.3352976740991347]","[0.02181778720118428, 0.4431350444726274]","[0.01881674809468554, 0.45103086553383637]","[0.02215521293394185, 0.5421424581997566]","[0.025953129777384204, 0.4361133099391877]","[0.021494685367001783, 0.37436508615923497]",[-0.002276897430419922],[0.0009971261024475098],"[0.5628111362457275, 0.46383094787597656]","[157, 894]"
30,"[-0.030771617386987683, 0.39446391033429434]","[-0.03886291973225646, 0.3985702729703551]","[-0.030641329648266047, 0.4769367788211354]","[-0.025416745934143725, 0.3910368171193053]","[-0.030885763378774946, 0.33553446801666215]","[0.022157780915443872, 0.44093349247327657]","[0.019160382375802868, 0.4500927711496484]","[0.02252959610120907, 0.5391632687962988]","[0.02626723199964106, 0.4326103789513542]","[0.02179876038507187, 0.3725733067182146]",[-0.0025005340576171875],[0.0010626912117004395],"[0.5595366358757019, 0.4624103903770447]","[157, 894]"
