,468,469,470,471,472,473,474,475,476,477,head_rotation_hor,head_rotation_ver,head_pos,looking_pos
21,"[-0.01592652757970426, 0.35880752643901476]","[-0.019241126136165687, 0.36045554460120965]","[-0.015854756583675175, 0.4250935514017116]","[-0.013566032828032275, 0.35776727245554013]","[-0.0159826100912272, 0.31063143012247774]","[0.01776105925631017, 0.3452315972458336]","[0.014855714029817436, 0.3412664237133066]","[0.017647996606416135, 0.4062621509913061]","[0.022094051099385344, 0.34960252024487026]","[0.017885071986446947, 0.30052196184714547]",[0.0004978477954864502],[-0.00024500489234924316],"[0.4686582684516907, 0.43655169010162354]","[818, 82]"
22,"[-0.017598487803977648, 0.3611894341546927]","[-0.021257387388034236, 0.36280340746662065]","[-0.01752435877146307, 0.42788075609536874]","[-0.01499373217641811, 0.3602853900697105]","[-0.017656200024921822, 0.3127174946917859]","[0.01995283141006701, 0.3482119047067642]","[0.016730806580609433, 0.3444786139592638]","[0.019845230346423662, 0.4094312921047048]","[0.024707311127557665, 0.3522347223288531]","[0.020063222763048033, 0.3032744406782098]",[0.00046771764755249023],[-0.0002543330192565918],"[0.4691426455974579, 0.4367787539958954]","[818, 82]"
23,"[-0.01818304933144996, 0.36053772616124125]","[-0.021952900924482766, 0.36185369735547535]","[-0.01812063179594312, 0.4260755959544405]","[-0.01550335556052039, 0.35989870190298934]","[-0.018234344201277043, 0.31270002582442197]","[0.02003190031723363, 0.34634254273399806]","[0.016852248450258078, 0.3425466027972976]","[0.019917499724872587, 0.40654428036166146]","[0.024706785058159413, 0.35057618121079454]","[0.020160187836772807, 0.30208856405915485]",[0.0003586709499359131],[-0.00026363134384155273],"[0.46864625811576843, 0.43767738342285156]","[818, 82]"
24,"[-0.017041901583263117, 0.35639472901245134]","[-0.020502156751965355, 0.35771472760650663]","[-0.01694934419880496, 0.41944810394637977]","[-0.014569641921774677, 0.35559963284952334]","[-0.017132162212789195, 0.3100577783338427]","[0.018663547371016907, 0.34495603436197453]","[0.015695722703954078, 0.34116023221615493]","[0.018560002971746738, 0.40512598146229506]","[0.023048978170937724, 0.3492747394930801]","[0.018785306653307854, 0.30073053223695806]",[0.0004152655601501465],[-0.0002721548080444336],"[0.46847978234291077, 0.43723082542419434]","[818, 82]"
25,"[-0.01882422015386478, 0.3592698315101464]","[-0.022775663483598933, 0.36017648011405057]","[-0.018766591230090925, 0.42366367013875117]","[-0.01602892535272309, 0.3590177933652035]","[-0.018874399340711997, 0.3122026670179331]","[0.01998055271760472, 0.3452960397071859]","[0.016858709393699208, 0.34176215566843954]","[0.01985361260853129, 0.40308051985599475]","[0.02456399571153601, 0.34940591336299887]","[0.02012143701610338, 0.30241397514611607]",[0.00035262107849121094],[-0.00024232268333435059],"[0.46874114871025085, 0.43829798698425293]","[818, 82]"
26,"[-0.01868101130671338, 0.36054901437736014]","[-0.022566185610482348, 0.36153857911506304]","[-0.018608717471722398, 0.4250991346133055]","[-0.015922511723536252, 0.36018270783045453]","[-0.01874455114243979, 0.31332764828304926]","[0.019871680869751798, 0.34557586942045637]","[0.016781248627012243, 0.3419593477183946]","[0.01973774203757225, 0.4035032235072537]","[0.0243967555323067, 0.349801888385994]","[0.020018758647527547, 0.30261658874726105]",[0.00037869811058044434],[-0.00025019049644470215],"[0.468893438577652, 0.43878641724586487]","[818, 82]"
27,"[-0.019776632770243757, 0.3579036740464954]","[-0.023766399597182276, 0.3586087473116852]","[-0.019687201246450035, 0.4203411349267746]","[-0.01692028271545625, 0.3576944685765415]","[-0.019860853709811752, 0.3119328740649459]","[0.02100941711101288, 0.3447741548756473]","[0.017676979526508454, 0.3412200387077564]","[0.020869778034235793, 0.4029863330752792]","[0.025943442807226914, 0.3489735904632408]","[0.021166107212857232, 0.3017426510365386]",[0.00043001770973205566],[-0.0002976059913635254],"[0.46824100613594055, 0.43868136405944824]","[818, 82]"
28,"[-0.018805183149155774, 0.35755791504195805]","[-0.02269891390183214, 0.35840230017567104]","[-0.01871269708823582, 0.41956149619699]","[-0.01604390681861254, 0.3572192848984384]","[-0.018893706756737606, 0.31186177789175445]","[0.019760763632407422, 0.3436730139194352]","[0.01664793311882215, 0.34022261517210506]","[0.0196234788684765, 0.4006814648185517]","[0.02436522376908212, 0.3477184739499087]","[0.019913762583361534, 0.3012795013727492]",[0.00037741661071777344],[-0.0002759695053100586],"[0.46713921427726746, 0.4383402168750763]","[818, 82]"
29,"[-0.01839067092549963, 0.3595566156815102]","[-0.022168346625136583, 0.3606739251748335]","[-0.01829248775361513, 0.4221918310845745]","[-0.015706318336995026, 0.35898231006709064]","[-0.018487888327972043, 0.3134351088957796]","[0.019599557214116176, 0.3457104735215511]","[0.016540692559561164, 0.34197425959523775]","[0.019464685323646487, 0.4036268837978108]","[0.024089212783698938, 0.3500262257181653]","[0.019746628186391228, 0.30274518370988485]",[0.00041174888610839844],[-0.00024023652076721191],"[0.4674217104911804, 0.438697874546051]","[818, 82]"
30,"[-0.018481286155329034, 0.3568998178351604]","[-0.02238189752864304, 0.3581587094054141]","[-0.018396778772766773, 0.4193644917664704]","[-0.015734703836130074, 0.3561697946016329]","[-0.018562134266164085, 0.3109906233135456]","[0.019045169969438266, 0.34132501156845707]","[0.016108306821401436, 0.3379227103881018]","[0.01892789884538111, 0.396678294986461]","[0.0233432839723354, 0.34539413123652624]","[0.019175878702167696, 0.2999170137320059]",[0.0003343820571899414],[-0.000322192907333374],"[0.4652533233165741, 0.4377123713493347]","[818, 82]"
31,"[-0.019407650449647953, 0.3562687422202105]","[-0.023542096163517535, 0.35730719869713]","[-0.019352302934392485, 0.41910993878669417]","[-0.016502074059782535, 0.3557758951096563]","[-0.019457154742096507, 0.31016909807926685]","[0.019964167733420742, 0.3415260898414053]","[0.01691418407678958, 0.33793206235168577]","[0.019841347430039798, 0.3969142362165348]","[0.024402481168899717, 0.34574896701305474]","[0.020099672514187976, 0.30007070852282924]",[0.00023040175437927246],[-0.0003052353858947754],"[0.46504488587379456, 0.43776071071624756]","[818, 82]"
32,"[-0.019247258428404874, 0.3580920250749291]","[-0.023341129327904237, 0.35919141764355983]","[-0.019193431278227292, 0.42176534991569353]","[-0.016365935168018157, 0.35756265306165796]","[-0.019292931191608017, 0.3114458087659869]","[0.01985155311337966, 0.3425663415676428]","[0.01684268868505059, 0.3388218576971768]","[0.01972660670420644, 0.3982077736732755]","[0.024211033191978093, 0.3469647139972643]","[0.019988556957843066, 0.30094885811860755]",[0.00029909610748291016],[-0.00028517842292785645],"[0.4654150903224945, 0.4378494322299957]","[818, 82]"
33,"[-0.019375090564815102, 0.35528854065985355]","[-0.02349098612712792, 0.35626578891798344]","[-0.019316374166488116, 0.41756992223122036]","[-0.016478857012452823, 0.3549630379504563]","[-0.01942270172095302, 0.3096159279553686]","[0.019921473883051866, 0.3425402672266728]","[0.016827753165049204, 0.3392179932517685]","[0.01981520550020897, 0.3989441165220431]","[0.02446918189179375, 0.3465875635956399]","[0.02004632476184861, 0.300569198230697]",[0.0002614259719848633],[-0.00026732683181762695],"[0.46477630734443665, 0.43654587864875793]","[818, 82]"
34,"[-0.020393754843272986, 0.35663906261715345]","[-0.024777020636327914, 0.3574858563724131]","[-0.020363716621713292, 0.41975163664479864]","[-0.017315166667448617, 0.3564972871729436]","[-0.02040655689929621, 0.3104391416972142]","[0.020850947299014683, 0.3429837812618884]","[0.017663477255668837, 0.3394839318815142]","[0.020733011421992457, 0.3989615950833461]","[0.0254953178665531, 0.34714707562582636]","[0.020981930257321268, 0.30118640821216003]",[0.00025650858879089355],[-0.00033104419708251953],"[0.46485161781311035, 0.4363947808742523]","[818, 82]"
35,"[-0.018241315919153595, 0.35360349750397]","[-0.02273819295893481, 0.35515325704941736]","[-0.01821314721244224, 0.4212910111173972]","[-0.015220844862236923, 0.35261927959652295]","[-0.018242530230435, 0.3049707205550926]","[0.01816291521019665, 0.34323264641313705]","[0.015315324049348697, 0.3409633625956522]","[0.01810274020849757, 0.40150201013303893]","[0.022383792769624235, 0.34600188161931733]","[0.018243856244737334, 0.30014084985745076]",[0.0002124011516571045],[-0.0004214346408843994],"[0.46409180760383606, 0.43287599086761475]","[818, 82]"
36,"[-0.019137657139030713, 0.35375319049291654]","[-0.02382822777830847, 0.3545748443178479]","[-0.019125525944817492, 0.42088999934806337]","[-0.015979719620522574, 0.3535195803171397]","[-0.01912643283880742, 0.3055019771542326]","[0.019416860868846784, 0.3449712665332181]","[0.0164125432941846, 0.3425282420289277]","[0.019334915750238314, 0.4024960728269465]","[0.023810690078163922, 0.3479128494666744]","[0.01951244197575762, 0.30223078566644285]",[0.0002490878105163574],[-0.00038889050483703613],"[0.46469372510910034, 0.43229788541793823]","[818, 82]"
37,"[-0.018574432405661607, 0.35960559247432466]","[-0.022945233048004936, 0.36112933917986073]","[-0.018571248620475468, 0.42786942777040854]","[-0.015591198475817745, 0.35861129882001114]","[-0.018556126594905784, 0.3102931946084533]","[0.01859859768082616, 0.3491705485213806]","[0.015731429460962596, 0.3469148148266749]","[0.018532862433054426, 0.40907099946003705]","[0.02278983890913504, 0.35199201837315175]","[0.018674495990366666, 0.30482095175390467]",[0.00030606985092163086],[-0.0003916919231414795],"[0.4645095467567444, 0.4323599934577942]","[818, 82]"
38,"[-0.017744677617658786, 0.3596194119863591]","[-0.022057284612660835, 0.36078898376725144]","[-0.01773246196925294, 0.42791870223697276]","[-0.014835518039744781, 0.35899097707835775]","[-0.017733446670031978, 0.31033218517205263]","[0.017687330858288147, 0.3494171049992917]","[0.01497218152799231, 0.34723323012566837]","[0.017624492029564436, 0.409074950500221]","[0.02164851495459043, 0.3521800888325991]","[0.017759408607103698, 0.30520498204970803]",[0.0003148317337036133],[-0.00034248828887939453],"[0.4643540680408478, 0.43226659297943115]","[818, 82]"
39,"[-0.01868419091457802, 0.3598412744479075]","[-0.02318040215236477, 0.3609923323461398]","[-0.018668298105129842, 0.42797893656354313]","[-0.015637612422205984, 0.35927002972151456]","[-0.01867246922924148, 0.3106414009735646]","[0.01839003743561108, 0.34847885182454846]","[0.015598891727021356, 0.34590543903241044]","[0.018314782067321584, 0.40840820165903674]","[0.022450889435682304, 0.35155920633378623]","[0.018476960400917307, 0.3040539671334513]",[0.00016611814498901367],[-0.00040405988693237305],"[0.4639795422554016, 0.43294650316238403]","[818, 82]"
40,"[-0.019888967991153677, 0.3673460685241385]","[-0.024485335387129374, 0.36884866148279133]","[-0.019887799537098422, 0.4375277459280409]","[-0.016740975225937066, 0.3666044206097252]","[-0.019870119777188916, 0.3166430768148129]","[0.020898048232552542, 0.3534919907503747]","[0.017663118331568348, 0.35147400224015607]","[0.02087281004366737, 0.41535701746143994]","[0.0256151148855583, 0.35583469764910897]","[0.02093595505967363, 0.3078665324309894]",[0.0001010596752166748],[-0.0004056394100189209],"[0.46563103795051575, 0.43280720710754395]","[818, 82]"
41,"[-0.020175827184889077, 0.36663986502995427]","[-0.024542493066984916, 0.36862615602290943]","[-0.020137394033381762, 0.4351610507647018]","[-0.017114416138020873, 0.36534054116015735]","[-0.02019128411600099, 0.3168731448451053]","[0.02112441152612786, 0.35383155716111914]","[0.01774927095469612, 0.3515213627050011]","[0.02108252251558242, 0.4172248374853175]","[0.02612389021514293, 0.35646037061812685]","[0.021174085293193194, 0.3073892685619182]",[0.00019162893295288086],[-0.00045484304428100586],"[0.46548938751220703, 0.4324794113636017]","[818, 82]"
42,"[-0.01948447118988479, 0.3706627724623143]","[-0.023832856915801486, 0.37287163521165134]","[-0.019474380975409353, 0.44284099397673043]","[-0.016468650097755014, 0.36922817148043974]","[-0.019476077841653745, 0.31867918834507986]","[0.02060887341842091, 0.35444656206642505]","[0.017339058786614524, 0.35226220547030673]","[0.020550709426467164, 0.4179701776387415]","[0.025420559473801233, 0.35693066999826767]","[0.020674054546525284, 0.3078472232090475]",[0.00018897652626037598],[-0.00038558244705200195],"[0.466416597366333, 0.43218880891799927]","[818, 82]"
43,"[-0.01850172414750303, 0.3696620631510107]","[-0.02254510493378614, 0.3719080567228722]","[-0.01847521284127407, 0.4407223925635187]","[-0.01567779033203852, 0.36822294080342327]","[-0.01851008426149488, 0.31837981867679077]","[0.019647193909487798, 0.3524560336918949]","[0.01645951608081415, 0.3503670408658644]","[0.019592064269883157, 0.4167507352967474]","[0.024383913864794826, 0.35487974777992026]","[0.019701867285211776, 0.3055523339016667]",[0.00027057528495788574],[-0.000386655330657959],"[0.46654942631721497, 0.4321744740009308]","[818, 82]"
44,"[-0.018029315808511182, 0.37266120263170316]","[-0.02199290329310029, 0.37465152597153895]","[-0.01802174459247677, 0.4447370042062901]","[-0.015263231361746683, 0.3715476220232713]","[-0.01801612553749642, 0.32069831201673854]","[0.019689884018370716, 0.3551739316005062]","[0.01651101389276728, 0.35273585230487475]","[0.01963454594969736, 0.42054830350936656]","[0.024383564991492558, 0.35781897743519114]","[0.019741544423288845, 0.3074584901528179]",[0.0003388822078704834],[-0.000331193208694458],"[0.4675387442111969, 0.4326583743095398]","[818, 82]"
45,"[-0.017622495151906916, 0.37265243510705176]","[-0.021543843760903004, 0.37474300424510204]","[-0.017613494849593663, 0.44531690756061276]","[-0.014897300321967916, 0.37142532597847516]","[-0.01761128176306618, 0.3203705349585238]","[0.019088082306589805, 0.35462847403759484]","[0.015997127065728346, 0.35249981605988157]","[0.01905048076923077, 0.4203528987116837]","[0.023669265811706832, 0.35702245269981864]","[0.0191252958731397, 0.30680977159037204]",[0.00035578012466430664],[-0.00031429529190063477],"[0.46731942892074585, 0.4327399730682373]","[818, 82]"
46,"[-0.01836031563738747, 0.37273714343332]","[-0.022427872043783815, 0.3748365251731448]","[-0.018357530246409758, 0.4453484032862801]","[-0.015528807471832001, 0.3715113836415397]","[-0.01834251199147273, 0.3204454483025749]","[0.020030449488431724, 0.35562716514260023]","[0.016825691106833723, 0.353179348750589]","[0.01997975172019233, 0.42110987500854374]","[0.024743508703685694, 0.35829200694255]","[0.02007916957903993, 0.30786001763927084]",[0.00033912062644958496],[-0.0003356337547302246],"[0.4675527811050415, 0.43265438079833984]","[818, 82]"
47,"[-0.01758561944243979, 0.37530515107885193]","[-0.021573004300016515, 0.37775902502040587]","[-0.017569445536805468, 0.449628846314574]","[-0.014833751133943108, 0.3736060092931072]","[-0.0175835854835984, 0.3219824827110793]","[0.019253899943747512, 0.3572219739357261]","[0.016133192429514928, 0.35474678231215206]","[0.0191837528720423, 0.4232492311057347]","[0.023872844497621223, 0.35997146008207953]","[0.019321914821882166, 0.30914603629510806]",[0.0003094673156738281],[-0.0002847909927368164],"[0.4675990641117096, 0.4325683116912842]","[818, 82]"
48,"[-0.01843391553596978, 0.37571679884743026]","[-0.022613706658755357, 0.37806994936384203]","[-0.018421746984718632, 0.45004927948209855]","[-0.015549851461149719, 0.37413141503545555]","[-0.018427953663038225, 0.32236348322324204]","[0.02020927630126931, 0.3583026998019332]","[0.01696874840882367, 0.3557111667300404]","[0.02012987377850449, 0.42386490754800155]","[0.024977297525299532, 0.36114655938703516]","[0.020285143208606034, 0.31041058905091773]",[0.0003040432929992676],[-0.000313490629196167],"[0.4676331877708435, 0.4327336251735687]","[818, 82]"
